id,xf,yf,amplitude,peaks
3140.0,0.01135190918472652,(6856.64377529349-563.7135335569212j),14.199746915968703,75
3140.0,0.012383900928792569,(4747.683454227236+225.29088171483545j),9.810166749773543,82
3140.0,0.013415892672858616,(-3687.6063758103946+1427.092884493505j),8.161230536721359,88
3140.0,0.014447884416924663,(-4852.380389252345-3416.431049490687j),12.248589378755376,95
3140.0,0.01547987616099071,(-3169.4937184086657-2817.302133684533j),8.75257544142324,102
3140.0,0.016511867905056758,(-3075.7090957654464+658.6000421209284j),6.492119051784281,107
3140.0,0.017543859649122806,(-3710.348959579773-1755.0707331830977j),8.471630895261661,118
3141.0,0.0,(154871-0j),266.5593803786575,0
3141.0,0.0017211703958691911,(-7870.510997493654+3528.080254184945j),29.690522314306893,9
3141.0,0.0034423407917383822,(-9312.265584522742-451.1864788643578j),32.09359499004189,17
